date,rainfall_mm,TMax,TMin,Evap,VP,Rad
1889-01-01,103.7,23.20967741935484,14.012903225806452,189.4,15.129032258064516,22.103225806451615
1889-02-01,44.8,22.889285714285712,13.232142857142858,159.0,14.182142857142859,19.646428571428572
1889-03-01,25.3,22.783870967741933,13.235483870967743,125.7,13.180645161290323,15.416129032258064
1889-04-01,93.6,19.756666666666668,12.263333333333332,77.5,13.616666666666667,10.606666666666666
1889-05-01,75.8,17.041935483870965,10.787096774193548,52.5,11.93225806451613,7.33225806451613
1889-06-01,182.4,14.416666666666666,9.020000000000001,38.5,10.706666666666667,6.033333333333333
1889-07-01,78.8,14.151612903225805,7.138709677419355,43.9,9.416129032258064,6.767741935483872
1889-08-01,75.7,15.241935483870968,7.845161290322581,59.2,9.651612903225805,9.577419354838709
1889-09-01,83.6,15.71,7.803333333333333,77.0,9.396666666666667,13.233333333333333
1889-10-01,144.8,18.55806451612903,10.483870967741936,106.7,12.038709677419355,16.925806451612903
1889-11-01,47.3,20.013333333333332,11.72,132.1,13.06,20.02
1889-12-01,44.9,22.26774193548387,12.2,163.7,12.964516129032257,22.096774193548388
1890-01-01,26.299999999999997,25.980645161290322,15.870967741935484,189.4,16.28709677419355,22.5
1890-02-01,28.3,24.760714285714283,16.1,159.0,17.135714285714286,19.771428571428572
1890-03-01,45.8,23.40967741935484,15.187096774193549,125.7,15.783870967741937,15.361290322580645
1890-04-01,38.6,20.723333333333336,12.46,77.5,13.020000000000001,10.966666666666667
1890-05-01,72.10000000000001,18.019354838709678,11.01290322580645,52.5,12.316129032258065,7.393548387096774
1890-06-01,34.6,15.353333333333333,9.613333333333333,38.5,11.13,6.076666666666667
1890-07-01,93.9,14.370967741935484,6.699999999999999,43.9,9.16451612903226,6.841935483870968
1890-08-01,151.1,14.951612903225806,7.951612903225806,59.2,9.712903225806452,9.438709677419356
1890-09-01,89.8,16.676666666666666,9.04,77.0,11.04,12.936666666666667
1890-10-01,138.6,17.783870967741933,9.564516129032258,106.7,10.399999999999999,17.106451612903225
1890-11-01,92.19999999999999,19.196666666666665,10.726666666666667,132.1,11.17,20.32
1890-12-01,41.8,21.6,11.95483870967742,163.7,12.19032258064516,22.164516129032258
1891-01-01,62.8,23.793548387096774,12.600000000000001,189.4,12.516129032258064,22.774193548387096
1891-02-01,15.7,23.77857142857143,13.164285714285715,159.0,12.325000000000001,20.37142857142857
1891-03-01,44.8,24.719354838709677,14.393548387096773,125.7,13.861290322580645,15.66451612903226
1891-04-01,43.099999999999994,19.936666666666667,12.196666666666665,77.5,12.623333333333333,10.843333333333334
1891-05-01,58.3,19.0258064516129,10.212903225806452,52.5,11.680645161290323,7.699999999999999
1891-06-01,177.1,16.06,9.68,38.5,11.55,6.183333333333334
1891-07-01,109.89999999999999,13.961290322580645,7.470967741935484,43.9,9.687096774193549,6.932258064516129
1891-08-01,55.8,15.94516129032258,7.387096774193548,59.2,10.14516129032258,9.709677419354838
1891-09-01,61.1,16.630000000000003,8.566666666666666,77.0,10.146666666666667,13.526666666666667
1891-10-01,95.6,18.190322580645162,10.896774193548387,106.7,11.519354838709678,17.138709677419353
1891-11-01,123.1,19.59,12.236666666666668,132.1,12.246666666666666,20.44333333333333
1891-12-01,89.3,20.858064516129033,11.570967741935483,163.7,12.751612903225807,22.31935483870968
1892-01-01,20.3,22.93548387096774,12.209677419354838,189.4,14.619354838709677,22.293548387096774
1892-02-01,4.8,23.87241379310345,13.53793103448276,163.8,14.617241379310345,20.13448275862069
1892-03-01,72.9,23.12258064516129,13.280645161290321,125.7,15.564516129032258,14.970967741935485
1892-04-01,104.19999999999999,18.77,10.693333333333333,77.5,12.686666666666667,10.620000000000001
1892-05-01,74.5,16.335483870967742,9.425806451612903,52.5,11.080645161290322,7.412903225806452
1892-06-01,120.3,13.82,8.916666666666666,38.5,10.803333333333335,6.1433333333333335
1892-07-01,93.4,13.754838709677419,7.151612903225806,43.9,9.583870967741936,6.9
1892-08-01,65.2,14.82258064516129,8.496774193548386,59.2,10.519354838709678,9.635483870967741
1892-09-01,91.2,15.956666666666667,9.076666666666666,77.0,10.963333333333333,13.443333333333333
1892-10-01,37.7,16.919354838709676,9.780645161290321,106.7,11.929032258064517,17.225806451612904
1892-11-01,50.9,21.863333333333333,11.2,132.1,13.423333333333334,20.803333333333335
1892-12-01,106.4,19.906451612903226,11.329032258064515,163.7,12.82258064516129,22.361290322580647
1893-01-01,20.4,22.35483870967742,13.383870967741936,189.4,14.51290322580645,22.322580645161292
1893-02-01,5.1,25.017857142857142,13.535714285714286,159.0,13.671428571428573,19.978571428571428
1893-03-01,32.7,22.896774193548385,13.306451612903226,125.7,14.480645161290322,15.416129032258064
1893-04-01,33.3,19.813333333333333,11.776666666666667,77.5,12.696666666666665,10.903333333333334
1893-05-01,130.6,17.0258064516129,11.2,52.5,12.312903225806451,7.380645161290323
1893-06-01,138.5,13.786666666666667,7.9,38.5,10.226666666666667,6.173333333333333
1893-07-01,80.2,13.016129032258064,7.4,43.9,9.974193548387097,6.938709677419355
1893-08-01,113.6,14.922580645161291,7.803225806451613,59.2,10.070967741935483,9.748387096774193
1893-09-01,121.5,15.793333333333333,9.15,77.0,10.54,13.42
1893-10-01,85.39999999999999,19.01290322580645,9.980645161290322,106.7,12.26774193548387,17.858064516129033
1893-11-01,58.4,18.94333333333333,11.53,132.1,12.466666666666667,20.503333333333334
1893-12-01,41.5,22.84193548387097,12.493548387096775,163.7,14.54516129032258,22.580645161290324
1894-01-01,18.6,22.874193548387098,14.280645161290321,189.4,16.4,22.687096774193545
1894-02-01,19.6,23.150000000000002,14.217857142857143,159.0,14.703571428571427,20.239285714285717
1894-03-01,24.0,22.33225806451613,13.754838709677419,125.7,15.26774193548387,15.432258064516128
1894-04-01,88.5,19.986666666666668,11.433333333333334,77.5,13.263333333333332,10.889999999999999
1894-05-01,48.8,16.15483870967742,9.161290322580646,52.5,11.512903225806452,7.696774193548387
1894-06-01,79.1,15.93,8.806666666666667,38.5,10.9,6.526666666666667
1894-07-01,213.6,12.919354838709678,6.993548387096775,43.9,9.62258064516129,6.758064516129032
1894-08-01,74.2,14.687096774193549,8.203225806451613,59.2,9.680645161290323,9.8
1894-09-01,97.1,15.553333333333335,7.696666666666667,77.0,9.84,13.466666666666667
1894-10-01,145.3,21.019354838709678,10.980645161290322,106.7,12.496774193548386,17.14516129032258
1894-11-01,17.9,21.976666666666667,10.96,132.1,12.936666666666667,20.55666666666667
1894-12-01,103.19999999999999,21.570967741935487,13.40967741935484,163.7,14.558064516129033,22.17096774193548
1895-01-01,38.6,23.312903225806455,13.864516129032259,189.4,15.006451612903225,22.79032258064516
1895-02-01,11.6,25.8,15.12142857142857,159.0,15.75357142857143,20.625
1895-03-01,48.8,22.051612903225806,13.190322580645162,125.7,15.041935483870969,15.47741935483871
1895-04-01,64.6,20.043333333333333,12.076666666666666,77.5,13.270000000000001,11.063333333333333
1895-05-01,72.7,15.941935483870967,9.7,52.5,11.248387096774193,7.516129032258065
1895-06-01,99.1,15.22,8.386666666666667,38.5,10.943333333333333,6.233333333333333
1895-07-01,82.6,13.587096774193547,6.364516129032259,43.9,9.0,6.961290322580646
1895-08-01,135.79999999999998,16.2,8.69032258064516,59.2,10.916129032258064,9.548387096774194
1895-09-01,92.0,15.586666666666668,7.923333333333334,77.0,10.21,13.57
1895-10-01,53.300000000000004,19.458064516129035,10.54516129032258,106.7,13.100000000000001,18.261290322580646
1895-11-01,13.5,20.3,10.873333333333333,132.1,12.81,21.96333333333333
1895-12-01,83.1,21.87741935483871,12.625806451612902,163.7,14.374193548387098,23.229032258064517
1896-01-01,71.0,23.216129032258067,13.587096774193547,189.4,15.219354838709679,21.82903225806452
1896-02-01,77.8,22.582758620689653,14.737931034482758,163.8,16.617241379310343,18.913793103448278
1896-03-01,42.199999999999996,20.864516129032257,13.135483870967741,125.7,13.96774193548387,15.274193548387096
1896-04-01,99.0,18.433333333333334,11.506666666666666,77.5,12.916666666666666,11.370000000000001
