date,rainfall_mm,TMax,TMin,Evap,VP,Rad
1889-01-01,61.0,31.451612903225808,15.451612903225806,245.3,14.893548387096773,25.12258064516129
1889-02-01,95.6,30.5,15.200000000000001,196.5,15.257142857142856,22.932142857142857
1889-03-01,0.8,28.393548387096775,13.187096774193549,155.4,13.816129032258065,18.864516129032257
1889-04-01,82.0,21.83,11.110000000000001,83.8,13.25,13.483333333333333
1889-05-01,171.3,17.080645161290324,7.877419354838709,44.3,11.21290322580645,9.009677419354839
1889-06-01,84.6,13.29,5.3533333333333335,29.1,9.47,7.246666666666667
1889-07-01,17.0,12.529032258064515,3.174193548387097,31.3,8.729032258064517,7.800000000000001
1889-08-01,112.1,13.94516129032258,5.04516129032258,50.1,9.461290322580645,10.993548387096775
1889-09-01,75.8,16.543333333333333,5.666666666666667,78.9,10.396666666666667,15.386666666666667
1889-10-01,67.9,21.883870967741935,9.209677419354838,126.9,12.948387096774193,19.54516129032258
1889-11-01,52.7,25.56,11.276666666666667,176.7,13.656666666666666,23.066666666666666
1889-12-01,1.1,29.806451612903224,13.509677419354839,226.6,14.474193548387097,25.61935483870968
1890-01-01,0.3,32.78387096774193,16.293548387096774,245.3,16.061290322580643,25.38064516129032
1890-02-01,5.8,31.025000000000002,16.271428571428572,196.5,16.91785714285714,23.085714285714285
1890-03-01,106.8,27.14516129032258,13.574193548387097,155.4,15.829032258064515,18.838709677419356
1890-04-01,31.3,22.566666666666666,9.22,83.8,12.623333333333333,13.816666666666666
1890-05-01,50.1,17.483870967741936,6.809677419354839,44.3,10.996774193548386,9.038709677419355
1890-06-01,150.1,14.053333333333335,5.9366666666666665,29.1,10.293333333333333,7.28
1890-07-01,98.9,11.82258064516129,3.129032258064516,31.3,8.687096774193549,7.870967741935484
1890-08-01,89.2,13.496774193548386,4.238709677419355,50.1,9.303225806451612,10.874193548387098
1890-09-01,30.1,17.373333333333335,5.996666666666667,78.9,10.773333333333333,15.126666666666667
1890-10-01,58.8,20.97741935483871,7.493548387096775,126.9,11.509677419354839,19.719354838709677
1890-11-01,41.5,24.21333333333333,9.566666666666666,176.7,12.213333333333333,23.376666666666665
1890-12-01,57.0,27.809677419354838,11.541935483870969,226.6,13.448387096774193,25.70967741935484
1891-01-01,71.10000000000001,29.774193548387096,13.390322580645162,245.3,15.519354838709678,25.641935483870967
1891-02-01,10.4,29.960714285714285,13.046428571428573,196.5,14.700000000000001,23.52857142857143
1891-03-01,46.0,27.80322580645161,12.680645161290323,155.4,14.841935483870968,19.1
1891-04-01,106.8,21.153333333333332,9.253333333333334,83.8,12.733333333333333,13.663333333333332
1891-05-01,20.099999999999998,17.58709677419355,5.632258064516129,44.3,10.603225806451613,9.316129032258065
1891-06-01,92.1,13.520000000000001,5.176666666666667,29.1,10.053333333333335,7.343333333333334
1891-07-01,85.89999999999999,12.306451612903226,3.8483870967741933,31.3,8.922580645161291,7.970967741935484
1891-08-01,32.1,14.212903225806452,4.54516129032258,50.1,9.612903225806452,11.154838709677419
1891-09-01,34.0,17.39333333333333,5.79,78.9,10.520000000000001,15.646666666666667
1891-10-01,58.2,20.893548387096775,8.0,126.9,11.919354838709678,19.73548387096774
1891-11-01,52.99999999999999,25.18,10.16,176.7,13.229999999999999,23.466666666666665
1891-12-01,7.8,28.60967741935484,12.390322580645162,226.6,13.206451612903225,25.903225806451612
1892-01-01,7.1,30.43548387096774,13.196774193548388,245.3,14.374193548387098,25.35483870967742
1892-02-01,7.1,31.879310344827587,14.941379310344828,202.8,15.817241379310344,23.46206896551724
1892-03-01,5.7,28.870967741935484,13.729032258064517,155.4,15.196774193548388,18.509677419354837
1892-04-01,34.1,21.253333333333334,8.17,83.8,11.396666666666667,13.51
1892-05-01,99.8,16.47741935483871,5.903225806451613,44.3,10.725806451612904,9.09032258064516
1892-06-01,30.5,13.286666666666667,3.6866666666666665,29.1,9.053333333333335,7.3533333333333335
1892-07-01,61.2,12.470967741935485,2.638709677419355,31.3,8.45483870967742,7.935483870967742
1892-08-01,78.3,14.048387096774194,4.274193548387097,50.1,9.451612903225806,11.080645161290322
1892-09-01,65.2,16.38,5.6899999999999995,78.9,10.729999999999999,15.546666666666665
1892-10-01,51.1,20.496774193548386,7.996774193548387,126.9,12.45483870967742,19.799999999999997
1892-11-01,59.1,25.276666666666664,10.51,176.7,14.066666666666666,23.81
1892-12-01,23.1,27.374193548387098,11.361290322580645,226.6,13.058064516129033,25.906451612903226
1893-01-01,1.5,30.24516129032258,13.425806451612903,245.3,13.948387096774193,25.351612903225806
1893-02-01,0.8,31.946428571428573,14.339285714285714,196.5,14.985714285714286,23.27857142857143
1893-03-01,27.700000000000003,27.887096774193548,12.680645161290323,155.4,14.422580645161291,18.896774193548385
1893-04-01,50.0,20.663333333333334,9.093333333333334,83.8,12.263333333333332,13.76
1893-05-01,132.9,16.93548387096774,7.170967741935484,44.3,10.825806451612904,9.077419354838709
1893-06-01,80.89999999999999,12.74,4.486666666666666,29.1,9.286666666666667,7.37
1893-07-01,67.3,12.125806451612902,3.261290322580645,31.3,8.706451612903225,7.961290322580646
1893-08-01,72.1,14.283870967741937,4.103225806451613,50.1,9.390322580645162,11.141935483870967
1893-09-01,73.0,16.766666666666666,5.873333333333333,78.9,10.193333333333333,15.566666666666666
1893-10-01,62.2,21.967741935483872,8.674193548387096,126.9,12.087096774193547,20.287096774193547
1893-11-01,41.2,24.490000000000002,10.313333333333333,176.7,13.129999999999999,23.540000000000003
1893-12-01,30.3,29.02258064516129,12.670967741935485,226.6,13.32258064516129,26.067741935483873
1894-01-01,16.1,30.98709677419355,15.332258064516129,245.3,15.22258064516129,25.47741935483871
1894-02-01,15.7,30.0,14.471428571428572,196.5,14.714285714285714,23.442857142857143
1894-03-01,81.0,26.200000000000003,13.480645161290322,155.4,15.451612903225806,18.89032258064516
1894-04-01,73.1,21.509999999999998,10.233333333333333,83.8,13.05,13.733333333333333
1894-05-01,71.7,16.019354838709678,5.635483870967741,44.3,10.067741935483872,9.358064516129033
1894-06-01,96.3,13.786666666666667,4.803333333333333,29.1,9.4,7.656666666666666
1894-07-01,84.6,11.432258064516128,3.164516129032258,31.3,8.167741935483871,7.816129032258065
1894-08-01,75.8,13.48709677419355,4.816129032258065,50.1,9.19032258064516,11.135483870967741
1894-09-01,40.4,16.12666666666667,5.27,78.9,10.066666666666666,15.566666666666666
