date,rainfall_mm,TMax,TMin,Evap,VP,Rad
1889-01-01,112.3,32.68387096774194,15.33548387096774,233.9,15.419354838709678,24.79032258064516
1889-02-01,76.8,31.50357142857143,14.457142857142857,187.2,15.617857142857144,22.592857142857145
1889-03-01,0.0,29.5258064516129,12.041935483870969,148.7,13.790322580645162,18.664516129032258
1889-04-01,81.8,22.733333333333334,9.343333333333334,82.0,13.26,13.45
1889-05-01,178.6,17.74516129032258,6.374193548387097,44.7,11.141935483870967,8.990322580645161
1889-06-01,153.4,13.806666666666667,4.48,30.400000000000002,9.463333333333333,7.246666666666667
1889-07-01,23.3,12.970967741935485,2.3161290322580643,32.300000000000004,8.751612903225807,7.770967741935484
1889-08-01,122.89999999999999,14.577419354838709,4.141935483870968,49.1,9.429032258064517,10.887096774193548
1889-09-01,128.8,17.290000000000003,5.0,75.5,10.479999999999999,15.24
1889-10-01,68.6,22.393548387096775,8.564516129032258,120.3,13.219354838709679,19.364516129032257
1889-11-01,94.4,26.5,11.033333333333333,164.3,14.306666666666667,22.873333333333335
1889-12-01,6.8,30.825806451612905,13.329032258064515,213.9,15.096774193548388,25.503225806451614
1890-01-01,0.0,33.877419354838715,16.07741935483871,233.9,16.596774193548388,25.03548387096774
1890-02-01,30.3,31.892857142857142,15.471428571428572,187.2,17.275,22.760714285714283
1890-03-01,37.4,28.216129032258067,12.393548387096773,148.7,15.82258064516129,18.651612903225807
1890-04-01,81.8,23.4,7.37,82.0,12.603333333333333,13.78
1890-05-01,55.5,18.112903225806452,5.270967741935484,44.7,10.932258064516128,9.03225806451613
1890-06-01,119.7,14.576666666666666,5.033333333333333,30.400000000000002,10.293333333333333,7.29
1890-07-01,116.4,12.264516129032257,2.229032258064516,32.300000000000004,8.706451612903225,7.858064516129032
1890-08-01,69.1,14.12258064516129,3.2838709677419353,49.1,9.274193548387096,10.764516129032257
1890-09-01,54.5,18.113333333333333,5.253333333333333,75.5,10.866666666666667,15.013333333333334
1890-10-01,64.89999999999999,21.529032258064515,6.835483870967742,120.3,11.764516129032257,19.538709677419355
1890-11-01,56.2,25.163333333333334,9.316666666666666,164.3,12.870000000000001,23.196666666666665
1890-12-01,51.300000000000004,28.770967741935483,11.303225806451612,213.9,14.02258064516129,25.606451612903225
1891-01-01,98.1,30.97741935483871,13.264516129032257,233.9,16.106451612903225,25.306451612903224
1891-02-01,8.4,30.928571428571427,12.278571428571428,187.2,15.049999999999999,23.175
1891-03-01,77.8,28.92258064516129,11.458064516129031,148.7,14.838709677419354,18.919354838709676
1891-04-01,52.3,22.05666666666667,7.41,82.0,12.723333333333333,13.629999999999999
1891-05-01,12.799999999999999,18.225806451612904,4.058064516129032,44.7,10.53225806451613,9.283870967741937
1891-06-01,90.7,14.033333333333333,4.306666666666667,30.400000000000002,10.053333333333335,7.343333333333334
1891-07-01,86.10000000000001,12.770967741935483,2.9838709677419355,32.300000000000004,8.95483870967742,7.95483870967742
1891-08-01,38.6,14.816129032258065,3.648387096774193,49.1,9.59032258064516,11.016129032258064
1891-09-01,38.6,18.09,5.1033333333333335,75.5,10.603333333333333,15.503333333333334
1891-10-01,68.6,21.44193548387097,7.351612903225806,120.3,12.161290322580646,19.56451612903226
1891-11-01,83.89999999999999,26.136666666666667,9.91,164.3,13.906666666666666,23.293333333333333
1891-12-01,5.4,29.612903225806452,12.23225806451613,213.9,13.76774193548387,25.79032258064516
1892-01-01,19.2,31.638709677419353,13.087096774193547,233.9,14.893548387096773,25.04516129032258
1892-02-01,10.3,32.84827586206897,14.23793103448276,193.2,16.16896551724138,23.13103448275862
1892-03-01,4.8,29.906451612903226,12.53225806451613,148.7,15.187096774193549,18.351612903225806
1892-04-01,66.0,22.09333333333333,6.386666666666667,82.0,11.41,13.486666666666668
1892-05-01,111.9,17.12258064516129,4.338709677419355,44.7,10.66451612903226,9.070967741935483
1892-06-01,34.9,13.770000000000001,2.7366666666666664,30.400000000000002,9.043333333333333,7.366666666666666
1892-07-01,44.0,12.916129032258064,1.7225806451612902,32.300000000000004,8.474193548387097,7.932258064516129
1892-08-01,106.2,14.667741935483871,3.3225806451612905,49.1,9.406451612903227,10.97741935483871
1892-09-01,91.7,17.12,4.989999999999999,75.5,10.81,15.386666666666667
1892-10-01,41.199999999999996,21.05483870967742,7.329032258064516,120.3,12.706451612903225,19.616129032258065
1892-11-01,89.0,26.233333333333334,10.236666666666668,164.3,14.713333333333333,23.62
1892-12-01,15.299999999999999,28.406451612903226,11.14516129032258,213.9,13.612903225806452,25.787096774193547
1893-01-01,0.2,31.46451612903226,13.254838709677419,233.9,14.461290322580645,25.01290322580645
1893-02-01,3.0,32.857142857142854,13.614285714285714,187.2,15.342857142857143,22.928571428571427
1893-03-01,29.800000000000004,28.92258064516129,11.483870967741936,148.7,14.412903225806453,18.706451612903226
1893-04-01,106.0,21.533333333333335,7.196666666666667,82.0,12.276666666666667,13.733333333333333
1893-05-01,130.4,17.574193548387097,5.590322580645162,44.7,10.725806451612904,9.05483870967742
1893-06-01,101.7,13.253333333333334,3.5933333333333333,30.400000000000002,9.276666666666667,7.363333333333333
1893-07-01,95.5,12.567741935483872,2.329032258064516,32.300000000000004,8.729032258064517,7.935483870967742
1893-08-01,59.2,14.912903225806453,3.1548387096774193,49.1,9.358064516129033,11.02258064516129
1893-09-01,106.7,17.540000000000003,5.136666666666667,75.5,10.296666666666665,15.423333333333334
1893-10-01,68.7,22.5258064516129,8.04516129032258,120.3,12.364516129032259,20.04516129032258
1893-11-01,37.4,25.523333333333333,10.08,164.3,13.816666666666666,23.353333333333335
1893-12-01,71.2,30.05806451612903,12.441935483870967,213.9,13.874193548387098,25.948387096774194
1894-01-01,22.0,32.15161290322581,15.219354838709679,233.9,15.735483870967743,25.112903225806452
1894-02-01,30.3,31.017857142857142,13.75357142857143,187.2,15.057142857142859,23.09642857142857
1894-03-01,128.7,27.325806451612905,12.283870967741937,148.7,15.451612903225806,18.716129032258067
1894-04-01,87.5,22.423333333333336,8.393333333333334,82.0,13.03,13.706666666666667
1894-05-01,51.2,16.664516129032258,4.051612903225807,44.7,9.983870967741936,9.345161290322581
1894-06-01,119.8,14.26,3.89,30.400000000000002,9.360000000000001,7.636666666666667
1894-07-01,90.7,11.858064516129033,2.2580645161290325,32.300000000000004,8.206451612903226,7.812903225806451
